Codigo Departamento	Departamento	Codigo Municipio	Municipio	Nivel para indicadores	Ano	Grado	Inscritos Total	Inscritos Hombres	Inscritos Mujeres	Repitentes Total	Repitentes Hombres	Repitentes Mujeres	No promovidos Total	No promovidos Hombres	No promovidos Mujeres	Desertores Total	Desertores Hombres	Desertores Mujeres	Fracaso Escolar Total	Fracaso Escolar Mujeres	Fracaso Escolar Hombres	Tasa de Conservación Hombres	Tasa de Conservación Mujeres	Tasa de Conservación Total
1	GUATEMALA	1	GUATEMALA	BASICO	2013	1	61550	33718	27832	2540	1539	1001	14529	8303	6226	20680	12245	8435	0.57	0.53	0.61	0.64	0.7	0.66
1	GUATEMALA	1	GUATEMALA	BASICO	2013	2	25995	13095	12900	1263	733	530	10825	6081	4744	-8126	-4524	-3602	0.1	0.09	0.12	1.35	1.28	1.31
1	GUATEMALA	1	GUATEMALA	BASICO	2013	3	27925	14489	13436	762	447	315	7606	4368	3238	-5048	-2510	-2538	0.09	0.05	0.13	1.17	1.19	1.18
1	GUATEMALA	1	GUATEMALA	BASICO	2014	1	39122	20776	18346	2430	1489	941	13306	7641	5665	-360	158	-518	0.33	0.28	0.38	0.99	1.03	1.01
1	GUATEMALA	1	GUATEMALA	BASICO	2014	2	35490	18470	17020	1119	638	481	10217	5720	4497	1786	1293	493	0.34	0.29	0.38	0.93	0.97	0.95
1	GUATEMALA	1	GUATEMALA	BASICO	2014	3	33819	17730	16089	543	336	207	6741	3936	2805	789	687	102	0.22	0.18	0.26	0.96	0.99	0.98
1	GUATEMALA	1	GUATEMALA	BASICO	2015	1	40461	21457	19004	3915	2365	1550	13134	7656	5478	3546	2128	1418	0.41	0.36	0.46	0.9	0.93	0.91
1	GUATEMALA	1	GUATEMALA	BASICO	2015	2	42658	22965	19693	2434	1436	998	10701	6142	4559	4461	2886	1575	0.36	0.31	0.39	0.87	0.92	0.9
1	GUATEMALA	1	GUATEMALA	BASICO	2015	3	37779	19909	17870	1315	810	505	7414	4296	3118	2698	1743	955	0.27	0.23	0.3	0.91	0.95	0.93
1	GUATEMALA	1	GUATEMALA	BASICO	2016	1	39827	21365	18462	1479	936	543	12894	7548	5346	3033	1900	1133	0.4	0.35	0.44	0.91	0.94	0.92
1	GUATEMALA	1	GUATEMALA	BASICO	2016	2	43133	23113	20020	2829	1693	1136	10363	6140	4223	3945	2557	1388	0.33	0.28	0.38	0.89	0.93	0.91
1	GUATEMALA	1	GUATEMALA	BASICO	2016	3	37805	19912	17893	624	389	235	7339	4408	2931	2420	1490	930	0.26	0.22	0.3	0.93	0.95	0.94
1	GUATEMALA	1	GUATEMALA	BASICO	2017	1	44624	24425	20199	4310	2702	1608	13402	7962	5440	4620	2850	1770	0.4	0.36	0.44	0.88	0.91	0.9
1	GUATEMALA	1	GUATEMALA	BASICO	2017	2	39494	21000	18494	2574	1534	1040	10895	6316	4579	2843	1785	1058	0.35	0.3	0.39	0.92	0.94	0.93
1	GUATEMALA	1	GUATEMALA	BASICO	2017	3	32709	16707	16002	1359	841	518	7110	4115	2995	1675	991	684	0.27	0.23	0.31	0.94	0.96	0.95
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2013	4	32722	16407	16315	482	220	262	9665	5385	4280	2248	1394	854	0.36	0.31	0.41	0.92	0.95	0.93
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2013	5	36079	18798	17281	315	147	168	5275	2825	2450	718	768	-50	0.17	0.14	0.19	0.96	1	0.98
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2013	6	12213	5072	7141	73	31	42	901	378	523	321	169	152	0.1	0.09	0.11	0.97	0.98	0.97
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2013	7	192	53	139	2	0	2	5	2	3	0	0	0	0.03	0.02	0.04	1	1	1
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2014	4	31097	15463	15634	433	223	210	8347	4765	3582	1633	997	636	0.32	0.27	0.37	0.94	0.96	0.95
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2014	5	35754	19041	16713	207	126	81	4664	2645	2019	-445	254	-699	0.12	0.08	0.15	0.99	1.04	1.01
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2014	6	11752	4921	6831	85	30	55	818	346	472	160	143	17	0.08	0.07	0.1	0.97	1	0.99
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2014	7	240	70	170	1	0	1	15	10	5	-1	-2	1	0.06	0.04	0.11	1.03	0.99	1
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2015	4	32603	16362	16241	1046	592	454	7754	4417	3337	2489	1465	1024	0.31	0.27	0.36	0.91	0.94	0.92
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2015	5	40716	22109	18607	880	523	357	4185	2346	1839	3847	2629	1218	0.2	0.16	0.23	0.88	0.93	0.91
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2015	6	10410	4699	5711	101	40	61	600	336	264	303	148	155	0.09	0.07	0.1	0.97	0.97	0.97
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2015	7	243	68	175	0	0	0	7	3	4	3	0	3	0.04	0.04	0.04	1	0.98	0.99
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2016	4	33380	16600	16780	689	435	254	7372	4163	3209	2533	1449	1084	0.3	0.26	0.34	0.91	0.94	0.92
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2016	5	40993	22031	18962	1209	762	447	4571	2724	1847	3303	2197	1106	0.19	0.16	0.22	0.9	0.94	0.92
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2016	6	9846	4315	5531	181	106	75	555	234	321	242	115	127	0.08	0.08	0.08	0.97	0.98	0.98
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2017	4	33930	17243	16687	1320	745	575	6889	4003	2886	4537	2901	1636	0.34	0.27	0.4	0.83	0.9	0.87
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2017	5	39370	20687	18683	1265	792	473	4110	2484	1626	1508	852	656	0.14	0.12	0.16	0.96	0.96	0.96
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2017	6	9337	4158	5179	87	37	50	402	196	206	271	146	125	0.07	0.06	0.08	0.96	0.98	0.97
1	GUATEMALA	1	GUATEMALA	DIVERSIFICADO	2017	7	1633	880	753	9	4	5	18	11	7	32	22	10	0.03	0.02	0.04	0.98	0.99	0.98
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2013	0	95	48	47	0	0	0	0	0	0	-42	-22	-20	-0.44	-0.43	-0.46	1.46	1.43	1.44
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2013	1	629	330	299	0	0	0	0	0	0	57	31	26	0.09	0.09	0.09	0.91	0.91	0.91
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2013	2	1802	932	870	0	0	0	0	0	0	498	248	250	0.28	0.29	0.27	0.73	0.71	0.72
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2013	3	3383	1701	1682	0	0	0	0	0	0	628	319	309	0.19	0.18	0.19	0.81	0.82	0.81
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2013	4	10166	4990	5176	0	0	0	0	0	0	350	197	153	0.03	0.03	0.04	0.96	0.97	0.97
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2013	5	16347	8152	8195	0	0	0	0	0	0	106	51	55	0.01	0.01	0.01	0.99	0.99	0.99
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2013	6	19203	9735	9468	2	0	2	0	0	0	86	36	50	0	0.01	0	1	0.99	1
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2014	0	69	31	38	0	0	0	0	0	0	-22	-13	-9	-0.32	-0.24	-0.42	1.42	1.24	1.32
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2014	1	415	230	185	0	0	0	0	0	0	-30	-22	-8	-0.07	-0.04	-0.1	1.1	1.04	1.07
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2014	2	1164	604	560	0	0	0	0	0	0	75	25	50	0.06	0.09	0.04	0.96	0.91	0.94
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2014	3	2589	1309	1280	0	0	0	0	0	0	209	109	100	0.08	0.08	0.08	0.92	0.92	0.92
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2014	4	9880	4820	5060	0	0	0	0	0	0	228	123	105	0.02	0.02	0.03	0.97	0.98	0.98
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2014	5	16871	8366	8505	0	0	0	0	0	0	612	299	313	0.04	0.04	0.04	0.96	0.96	0.96
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2014	6	20279	10227	10052	37	17	20	0	0	0	795	432	363	0.04	0.04	0.04	0.96	0.96	0.96
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2015	0	83	35	48	0	0	0	0	0	0	2	2	0	0.02	0	0.06	0.94	1	0.98
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2015	1	369	187	182	0	0	0	0	0	0	17	9	8	0.05	0.04	0.05	0.95	0.96	0.95
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2015	2	1052	561	491	0	0	0	0	0	0	74	41	33	0.07	0.07	0.07	0.93	0.93	0.93
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2015	3	2255	1164	1091	0	0	0	0	0	0	69	31	38	0.03	0.03	0.03	0.97	0.97	0.97
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2015	4	10103	5112	4991	0	0	0	0	0	0	274	149	125	0.03	0.03	0.03	0.97	0.97	0.97
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2015	5	16736	8432	8304	0	0	0	0	0	0	383	196	187	0.02	0.02	0.02	0.98	0.98	0.98
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2015	6	20419	10247	10172	0	0	0	0	0	0	446	224	222	0.02	0.02	0.02	0.98	0.98	0.98
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2016	0	72	36	36	0	0	0	0	0	0	2	1	1	0.03	0.03	0.03	0.97	0.97	0.97
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2016	1	438	217	221	0	0	0	0	0	0	11	3	8	0.03	0.04	0.01	0.99	0.96	0.97
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2016	2	1181	601	580	0	0	0	0	0	0	43	23	20	0.04	0.03	0.04	0.96	0.97	0.96
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2016	3	2518	1308	1210	0	0	0	0	0	0	83	47	36	0.03	0.03	0.04	0.96	0.97	0.97
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2016	4	9983	5055	4928	0	0	0	0	0	0	309	165	144	0.03	0.03	0.03	0.97	0.97	0.97
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2016	5	16485	8304	8181	0	0	0	0	0	0	331	172	159	0.02	0.02	0.02	0.98	0.98	0.98
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2016	6	19657	9980	9677	0	0	0	0	0	0	247	147	100	0.01	0.01	0.01	0.99	0.99	0.99
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2017	0	149	76	73	0	0	0	0	0	0	9	6	3	0.06	0.04	0.08	0.92	0.96	0.94
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2017	1	380	197	183	0	0	0	0	0	0	14	3	11	0.04	0.06	0.02	0.98	0.94	0.96
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2017	2	1104	593	511	0	0	0	0	0	0	36	24	12	0.03	0.02	0.04	0.96	0.98	0.97
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2017	3	2197	1130	1067	0	0	0	0	0	0	65	31	34	0.03	0.03	0.03	0.97	0.97	0.97
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2017	4	9919	5046	4873	0	0	0	0	0	0	280	156	124	0.03	0.03	0.03	0.97	0.97	0.97
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2017	5	16961	8507	8454	0	0	0	0	0	0	357	190	167	0.02	0.02	0.02	0.98	0.98	0.98
1	GUATEMALA	1	GUATEMALA	PREPRIMARIA	2017	6	19566	9906	9660	0	0	0	0	0	0	257	142	115	0.01	0.01	0.01	0.99	0.99	0.99
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2013	1	24565	12718	11847	1845	1076	769	1990	1109	881	976	561	415	0.12	0.11	0.13	0.96	0.96	0.96
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2013	2	23279	11860	11419	885	516	369	1228	692	536	198	109	89	0.06	0.05	0.07	0.99	0.99	0.99
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2013	3	22935	11603	11332	743	455	288	980	585	395	236	184	52	0.05	0.04	0.07	0.98	1	0.99
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2013	4	22436	11325	11111	698	424	274	1398	887	511	277	103	174	0.07	0.06	0.09	0.99	0.98	0.99
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2013	5	22740	11424	11316	564	359	205	1495	929	566	258	129	129	0.08	0.06	0.09	0.99	0.99	0.99
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2013	6	21942	10850	11092	260	159	101	879	546	333	146	64	82	0.05	0.04	0.06	0.99	0.99	0.99
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2014	1	24333	12474	11859	1599	927	672	1754	987	767	1018	571	447	0.11	0.1	0.12	0.95	0.96	0.96
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2014	2	23075	11881	11194	826	480	346	971	558	413	526	326	200	0.06	0.05	0.07	0.97	0.98	0.98
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2014	3	22913	11718	11195	650	391	259	734	468	266	441	250	191	0.05	0.04	0.06	0.98	0.98	0.98
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2014	4	22815	11517	11298	683	417	266	1201	718	483	500	275	225	0.07	0.06	0.09	0.98	0.98	0.98
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2014	5	21957	11044	10913	524	324	200	1095	646	449	424	245	179	0.07	0.06	0.08	0.98	0.98	0.98
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2014	6	21984	10903	11081	222	136	86	803	498	305	391	205	186	0.05	0.04	0.06	0.98	0.98	0.98
1	GUATEMALA	1	GUATEMALA	PRIMARIA	2015	1	24284	12333	11951	1548	846	702	1912	1077	835	585	368	217	0.1	0.09	0.12	0.97	0.98	0.98
