cod_estab,NOM_ESTAB_2013,Dirección_2013,NOM_DEPA_2013,NOM_MUNI_2013,SECTOR_2013,AREA_2013,PLAN_2013,JORNADA_2013,CANTIDAD_EVALUADOS_ESTABLECIMIENTO_2013,RAMA_ABSTRACTA_MAGISTERIO_CANTIDAD_2013,RAMA_ABSTRACTA_BACHILLERATO_CANTIDAD_2013,RAMA_ABSTRACTA_PERITO_CANTIDAD_2013,RAMA_ABSTRACTA_SECRETARIADO_CANTIDAD_2013,RAMA_ABSTRACTA_TECNICO_CANTIDAD_2013,RAMA_ABSTRACTA_MISSING_CANTIDAD_2013,LOGRO_LECTURA_ESTABLECIMIENTO_2013_ESTUD_CON_FORMA,NO_LOGRO_LECTURA_ESTABLECIMIENTO_2013_ESTUD_CON_FORMA,DESEMPEÑO_LECTURA_EXCELENTE_mean_2013_ESTUD_CON_FORMA,DESEMPEÑO_LECTURA_SATISFACTORIO_mean_2013_ESTUD_CON_FORMA,DESEMPEÑO_LECTURA_DEBE_MEJORAR_mean_2013_ESTUD_CON_FORMA,DESEMPEÑO_LECTURA_INSATISFACTORIO_mean_2013_ESTUD_CON_FORMA,LOGRO_LECTURA_ESTABLECIMIENTO_2013_TODOS_ESTUDIANTES,NO_LOGRO_LECTURA_ESTABLECIMIENTO_2013_TODOS_ESTUDIANTES,LOGRO_LEC_NO_IDENTIFICADO_NO_INDICA_FORMA_2013,DESEMPEÑO_LECTURA_EXCELENTE_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_LECTURA_SATISFACTORIO_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_LECTURA_DEBE_MEJORAR_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_LECTURA_INSATISFACTORIO_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_LECTURA_SIN_FORMA_mean_2013_TODOS_ESTUDIANTES,NUM_ALUM_10_EVAL_LECTURA_CANTIDAD_2013,LOGRO_LECTURA_establecimiento_2010,LOGRO_LECTURA_establecimiento_2011,LOGRO_LECTURA_establecimiento_2012,LOGRO_LECTURA_ESTABLECIMIENTO_2013_ESTUD_CON_FORMA_DUPLICADA,LOGRO_LECTURA_NACIONAL_2013,LOGRO_LECTURA_DEPARTAMENTAL_2013,LOGRO_LECTURA_MUNICIPAL_2013,NO_LOGRO_LECTURA_NACIONAL_2013,NO_LOGRO_LECTURA_DEPARTAMENTAL_2013,NO_LOGRO_LECTURA_MUNICIPAL_2013,LC_CUANTOS_LIBROS_COMPLETOS_HA_LEÍDO_2_O_MENOS_mean_2013,LC_CUANTOS_LIBROS_COMPLETOS_HA_LEÍDO_3A6_mean_2013,LC_CUANTOS_LIBROS_COMPLETOS_HA_LEÍDO_MAS6_mean_2013,LC_CUANTOS_LIBROS_COMPLETOS_HA_LEÍDO_NO_INDICÓ_mean_2013,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2013_ESTUD_CON_FORMA,NO_LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2013_ESTUD_CON_FORMA,DESEMPEÑO_MATEMÁTICAS_EXCELENTE_mean_2013_ESTUD_CON_FORMA,DESEMPEÑO_MATEMÁTICAS_SATISFACTORIO_mean_2013_ESTUD_CON_FORMA,DESEMPEÑO_MATEMÁTICAS_DEBE_MEJORAR_mean_2013_ESTUD_CON_FORMA,DESEMPEÑO_MATEMÁTICAS_INSATISFACTORIO_mean_2013_ESTUD_CON_FORMA,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2013_TODOS_ESTUDIANTES,NO_LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2013_TODOS_ESTUDIANTES,LOGRO_MATE_NO_IDENTIFICADO_NO_INDICA_FORMA_2013,DESEMPEÑO_MATEMÁTICAS_EXCELENTE_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_MATEMÁTICAS_SATISFACTORIO_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_MATEMÁTICAS_DEBE_MEJORAR_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_MATEMÁTICAS_INSATISFACT_mean_2013_TODOS_ESTUDIANTES,DESEMPEÑO_MATEMÁTICAS_SIN_FORMA_mean_2013_TODOS_ESTUDIANTES,NUM_ALUM_10_EVAL_MATEMÁTICAS_CANTIDAD_2013,LOGRO_MATE_establecimiento_2010,LOGRO_MATE_establecimiento_2011,LOGRO_MATE_establecimiento_2012,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2013_ESTUD_CON_FORMA_DUPLICADA,LOGRO_MATEMÁTICAS_DEPARTAMENTAL_2013,LOGRO_MATEMÁTICAS_NACIONAL_2013,LOGRO_MATEMÁTICAS_MUNICIPAL_2013,NO_LOGRO_MATEMÁTICAS_NACIONAL_2013,NO_LOGRO_MATEMÁTICAS_DEPARTAMENTAL_2013,NO_LOGRO_MATEMÁTICAS_MUNICIPAL_2013
00-01-0158-46,COLEGIO TECNICO PROGRESISTA CETECPRO,11 CALLE 10-28,CIUDAD CAPITAL,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),DOBLE,22,0,0,22,0,0,0,40.909091,59.090909,13.636364,27.272727,22.727273,36.363636,40.909091,59.090909,0,13.636364,27.272727,22.727273,36.363636,0,4,55.555556,27.777778,40,40.909091,26.033747,37.890338,32.762074,73.966253,62.109662,67.237926,95.454545,4.545455,0,0,4.545455,95.454545,0,4.545455,18.181818,77.272727,4.545455,95.454545,0,0,4.545455,18.181818,77.272727,0,0,11.111111,0,4,4.545455,13.211874,8.019557,8.429005,91.980443,86.788126,91.570995
00-01-0173-46,INSTITUTO NORMAL PARA SEÑORITAS 'CENTRO AMERICA',1A CALLE 2-64,CIUDAD CAPITAL,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),MATUTINA,128,128,0,0,0,0,0,60.629921,39.370079,35.433071,25.19685,33.070866,6.299213,60.15625,39.0625,0.78125,35.15625,25,32.8125,6.25,0.78125,6,55.128205,47.51773,55.072464,60.629921,26.033747,37.890338,32.762074,73.966253,62.109662,67.237926,58.59375,35.15625,5.46875,0.78125,12.5,87.5,7.03125,5.46875,54.6875,32.8125,12.5,87.5,0,7.03125,5.46875,54.6875,32.8125,0,1,7.692308,9.219858,10.869565,12.5,13.211874,8.019557,8.429005,91.980443,86.788126,91.570995
00-01-0174-46,ESCUELA NACIONAL CENTRAL DE FORMACION SECRETARIAL,12 AVENIDA 9-29,CIUDAD CAPITAL,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),MATUTINA,182,0,0,0,182,0,0,57.142857,42.857143,31.868132,25.274725,21.428571,21.428571,57.142857,42.857143,0,31.868132,25.274725,21.428571,21.428571,0,6,42.105263,48.823529,50,57.142857,26.033747,37.890338,32.762074,73.966253,62.109662,67.237926,75.824176,21.428571,2.747253,0,6.043956,93.956044,2.747253,3.296703,25.274725,68.681319,6.043956,93.956044,0,2.747253,3.296703,25.274725,68.681319,0,1,0,1.744186,4.225352,6.043956,13.211874,8.019557,8.429005,91.980443,86.788126,91.570995
00-01-0175-46,ESCUELA NORMAL PARA MAESTROS DE EDUCACION MUSICAL 'JESUS MARIA ALVARADO',2A. CALLE 4-04,CIUDAD CAPITAL,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),MATUTINA,40,40,0,0,0,0,0,75,25,60,15,17.5,7.5,75,25,0,60,15,17.5,7.5,0,8,66.666667,50,54.166667,75,26.033747,37.890338,32.762074,73.966253,62.109662,67.237926,60,37.5,2.5,0,12.5,87.5,7.5,5,47.5,40,12.5,87.5,0,7.5,5,47.5,40,0,1,0,7.692308,4.166667,12.5,13.211874,8.019557,8.429005,91.980443,86.788126,91.570995
00-01-0176-46,INSTITUTO NACIONAL DE BACHILLERATO EN COMPUTACION,3A CALLE 15-45,CIUDAD CAPITAL,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),VESPERTINA,106,0,106,0,0,0,0,69.811321,30.188679,39.622642,30.188679,24.528302,5.660377,69.811321,30.188679,0,39.622642,30.188679,24.528302,5.660377,0,7,61.594203,69.444444,58.62069,69.811321,26.033747,37.890338,32.762074,73.966253,62.109662,67.237926,63.207547,32.075472,4.716981,0,23.584906,76.415094,13.207547,10.377358,50,26.415094,23.584906,76.415094,0,13.207547,10.377358,50,26.415094,0,2,27.536232,38.53211,39.08046,23.584906,13.211874,8.019557,8.429005,91.980443,86.788126,91.570995
00-01-0178-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,10A. AVENIDA 9-42,CIUDAD CAPITAL,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),NOCTURNA,33,0,0,26,7,0,0,39.393939,60.606061,21.212121,18.181818,33.333333,27.272727,39.393939,60.606061,0,21.212121,18.181818,33.333333,27.272727,0,4,10.526316,,34,39.393939,26.033747,37.890338,32.762074,73.966253,62.109662,67.237926,75.757576,21.212121,3.030303,0,9.090909,90.909091,9.090909,0,27.272727,63.636364,9.090909,90.909091,0,9.090909,0,27.272727,63.636364,0,1,2.631579,,8.77193,9.090909,13.211874,8.019557,8.429005,91.980443,86.788126,91.570995
00-01-0179-46,ESCUELA NORMAL PARA MAESTROS DE EDUCACION MUSICAL JESUS MARIA ALVARADO,"10A. AVENIDA 2-24,",CIUDAD CAPITAL,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),INTERMEDIA,13,13,0,0,0,0,0,46.153846,53.846154,7.692308,38.461538,7.692308,46.153846,46.153846,53.846154,0,7.692308,38.461538,7.692308,46.153846,0,5,21.428571,58.333333,25,46.153846,26.033747,37.890338,32.762074,73.966253,62.109662,67.237926,69.230769,15.384615,15.384615,0,7.692308,92.307692,7.692308,0,46.153846,46.153846,7.692308,92.307692,0,7.692308,0,46.153846,46.153846,0,1,0,8.333333,6.25,7.692308,13.211874,8.019557,8.429005,91.980443,86.788126,91.570995
00-01-0180-46,ESCUELA NACIONAL DE ADMINISTRACION PUBLICA  LIC. MANUEL GREGORIO LOPEZ SANTIAGO,9A CALLE 2-36,CIUDAD CAPITAL,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),NOCTURNA,14,0,0,14,0,0,0,21.428571,78.571429,7.142857,14.285714,35.714286,42.857143,21.428571,78.571429,0,7.142857,14.285714,35.714286,42.857143,0,2,21.73913,6.666667,30,21.428571,26.033747,37.890338,32.762074,73.966253,62.109662,67.237926,78.571429,21.428571,0,0,7.142857,92.857143,0,7.142857,14.285714,78.571429,7.142857,92.857143,0,0,7.142857,14.285714,78.571429,0,1,0,0,0,7.142857,13.211874,8.019557,8.429005,91.980443,86.788126,91.570995
00-01-0182-46,'LICEO DE CIENCIAS SECRETARIALES',4A AVE. 4-12,CIUDAD CAPITAL,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,64,0,0,19,45,0,0,28.125,71.875,12.5,15.625,42.1875,29.6875,28.125,71.875,0,12.5,15.625,42.1875,29.6875,0,3,19.354839,30.30303,18.965517,28.125,26.033747,37.890338,32.762074,73.966253,62.109662,67.237926,65.625,31.25,3.125,0,0,100,0,0,18.75,81.25,0,100,0,0,0,18.75,81.25,0,0,0,2.941176,0,0,13.211874,8.019557,8.429005,91.980443,86.788126,91.570995
00-01-0183-46,INSTITUTO NORMAL 'CASA CENTRAL',1A AVE. 13-63,CIUDAD CAPITAL,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,99,71,0,28,0,0,0,66.666667,33.333333,36.363636,30.30303,21.212121,12.121212,66.666667,33.333333,0,36.363636,30.30303,21.212121,12.121212,0,7,59.550562,56.363636,64.772727,66.666667,26.033747,37.890338,32.762074,73.966253,62.109662,67.237926,69.69697,29.292929,1.010101,0,14.141414,85.858586,9.090909,5.050505,50.505051,35.353535,14.141414,85.858586,0,9.090909,5.050505,50.505051,35.353535,0,1,10.11236,21.818182,11.494253,14.141414,13.211874,8.019557,8.429005,91.980443,86.788126,91.570995
