VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38,VAR39,VAR40,VAR41,VAR42,VAR43,VAR44,VAR45,VAR46,VAR47,VAR48,VAR49,VAR50,VAR51,VAR52,VAR53,VAR54,VAR55,VAR56,VAR57,VAR58,VAR59,VAR60,VAR61,VAR62,VAR63,VAR64,VAR65,VAR66,VAR67,VAR68,VAR69,VAR70,VAR71,VAR72,VAR73,VAR74,VAR75,VAR76,VAR77,VAR78,VAR79,VAR80,VAR81,VAR82,VAR83,VAR84,VAR85,VAR86,VAR87,VAR88,VAR89,VAR90,VAR91,VAR92,VAR93,VAR94,VAR95,VAR96,VAR97,VAR98,VAR99,VAR100,VAR101,VAR102,VAR103,VAR104,VAR105,VAR106,VAR107,VAR108,VAR109,VAR110,VAR111,VAR112,VAR113,VAR114,VAR115,VAR116,VAR117
Código del Establecimiento,Nombre del Establecimiento,Dirección del Establecimiento,Departamento del Establecimiento,Municipio del Establecimiento,Sector del Establecimiento,Área del establecimiento,Plan del Establecimiento,Jornada del Establecimiento,Total de Estudiantes Evaluados en el Establecimiento,Logro del Establecimiento en Lectura 2011,Logro del Establecimiento en Lectura 2012,Logro del Establecimiento en Lectura 2013,Logro del Establecimiento en Lectura 2014,Logro del Establecimiento en Lectura 2015,Logro del Establecimiento en Lectura 2016,% de Estudiantes del Establecimiento en el nivel de desempeño Excelente en Lectura - 2016,% de Estudiantes del Establecimiento en el nivel de desempeño Satisfactorio en Lectura - 2016,No Logro del Establecimiento en Lectura 2016,% de Estudiantes del Establecimiento en el nivel de desempeño Debe mejorar en Lectura - 2016,% de Estudiantes del Establecimiento en el nivel de desempeño Insatisfactorio en Lectura - 2016,Logro Nacional de Lectura 2016,Logro departamental en Lectura,Logro Municipal en Lectura,Porcentaje Nacional de Nivel Literal de Lectura,Porcentaje Nacional de Nivel Inferencial de Lectura,Porcentaje Nacional de Nivel Crítico de Lectura,Porcentaje de respuestas correctas del departamento del establecimiento en el nivel Literal de comprensión lectora (Nivel de Lectura),Porcentaje de respuestas correctas del departamento del establecimiento en el nivel Inferencial de comprensión lectora (Nivel de Lectura),Porcentaje de respuestas correctas del departamento del establecimiento en el nivel Crítico de comprensión lectora (Nivel de Lectura),Porcentaje de respuestas correctas del municipio del establecimiento en el nivel Literal de comprensión lectora (Nivel de Lectura),Porcentaje de respuestas correctas del municipio del establecimiento en el nivel Inferencial de comprensión lectora (Nivel de Lectura),Porcentaje de respuestas correctas del municipio del establecimiento en el nivel Crítico de comprensión lectora (Nivel de Lectura),Porcentaje de respuestas correctas del establecimiento en el nivel Literal de comprensión lectora (Nivel de Lectura),Porcentaje de respuestas correctas del establecimiento en el nivel Inferencial de comprensión lectora (Nivel de Lectura),Porcentaje de respuestas correctas del establecimiento en el nivel Crítico de comprensión lectora (Nivel de Lectura),Logro del Establecimiento en Matemática 2011,Logro del Establecimiento en Matemática 2012,Logro del Establecimiento en Matemática 2013,Logro del Establecimiento en Matemática 2014,Logro del Establecimiento en Matemática 2015,Logro del Establecimiento en Matemática 2016,% de Estudiantes del Establecimiento en el nivel de desempeño Excelente en Matemática - 2016,% de Estudiantes del Establecimiento en el nivel de desempeño Satisfactorio en Matemática - 2016,No Logro del Establecimiento en Matemática 2016,% de Estudiantes del Establecimiento en el nivel de desempeño Debe mejorar en Matemática - 2016,% de Estudiantes del Establecimiento en el nivel de desempeño Insatisfactorio en Matemática - 2016,Logro Nacional de Matemáticas,Logro departamental en Matemática,Logro municipal en Matemática,Porcentaje Nacional de Competencia de Definiciones y Cálculos de Matemáticas,Porcentaje Nacional de Competencia de Penamiento Matemático de Matemáticas,Porcentaje Nacional de Competencia de Resolución de Problemas de Matemáticas,Porcentaje de respuestas correctas del departamento del establecimiento en Definiciones y cálculos (Competencia matemática),Porcentaje de respuestas correctas del departamento del establecimiento en Pensamiento matemático (Competencia matemática),Porcentaje de respuestas correctas del departamento del establecimiento en Resolución de problemas (Competencia matemática),Porcentaje de respuestas correctas del municipio del establecimiento en Definiciones y cálculos (Competencia matemática),Porcentaje de respuestas correctas del municipio del establecimiento en Pensamiento matemático (Competencia matemática),Porcentaje de respuestas correctas del municipio del establecimiento en Resolución de problemas (Competencia matemática),Porcentaje de respuestas correctas del establecimiento en Definiciones y cálculos (Competencia matemática),Porcentaje de respuestas correctas del establecimiento en Pensamiento matemático (Competencia matemática),Porcentaje de respuestas correctas del establecimiento en Resolución de problemas (Competencia matemática),% de Estudiantes del Establecimiento que se autoidentifica: Maya,% de Estudiantes del Establecimiento que se autoidentifica: Ladino,% de Estudiantes del Establecimiento que se autoidentifica: Garífuna,% de Estudiantes del Establecimiento que se autoidentifica: Xinka,% de Estudiantes del Establecimiento que se autoidentifica: Extranjero,% de Estudiantes del Establecimiento que se autoidentifica: Más de una etnia,% de Estudiantes del Establecimiento que se autoidentifica: No reportó,Porcentaje de estudiantes del establecimiento con idioma materno maya,Porcentaje de estudiantes del establecimiento con idioma materno español,Porcentaje de estudiantes del establecimiento con idioma materno garífuna,Porcentaje de estudiantes del establecimiento con idioma materno xinca,Porcentaje de estudiantes del establecimiento con otro idioma materno (Extranjero),Porcentaje de estudiantes del establecimiento con más de un idioma materno,Porcentaje de estudiantes del establecimiento que no reportó idioma materno,% de Estudiantes del Establecimiento que asisitió a preprimaria,% de Estudiantes del Establecimiento que repitió al menos un grado,% de Estudiantes del Establecimiento que trabaja para ganar dinero,Edad promedio de los Estudiantes del Establecimiento,% de Estudiantes del Establecimiento que reporta escolaridad del papá: Educación primaria,% de Estudiantes del Establecimiento que reporta escolaridad del papá: Ciclo básico del Nivel de Educación Media,% de Estudiantes del Establecimiento que reporta escolaridad del papá: Ciclo diversificado del Nivel de Educación Media,% de Estudiantes del Establecimiento que reporta escolaridad del papá: Educaión Universidad y Posgrado,% de Estudiantes del Establecimiento que No indicó escolaridad del papá,% de Estudiantes del Establecimiento que reporta escolaridad del mamá: Educación primaria,% de Estudiantes del Establecimiento que reporta escolaridad del mamá: Ciclo básico del Nivel de Educación Media,% de Estudiantes del Establecimiento que reporta escolaridad del mamá: Ciclo diversificado del Nivel de Educación Media,% de Estudiantes del Establecimiento que reporta escolaridad del mamá: Educación Universidad y Posgrado,% de Estudiantes del Establecimiento que No indicó escolaridad del mamá,Promedio de horas al día que los Estudiantes utilizan la computadora en el Establecimiento,Promedio de horas que los estudiantes del establecimiento utilizan la computadora en casa ,% de Estudiantes del Establecimiento que han recibido curso de computación,"Promedio de períodos de lectura a la semana, reportados por los Estudiantes del Establecimiento",CATEGORIA - minutos que dura un periodo de Lectura en el establecimiento 0_19,CATEGORIA - minutos que dura un periodo de Lectura en el establecimiento 20_29,CATEGORIA - minutos que dura un periodo de Lectura en el establecimiento 30_39,CATEGORIA - minutos que dura un periodo de Lectura en el establecimiento 40_49,CATEGORIA - minutos que dura un periodo de Lectura en el establecimiento 50_59,CATEGORIA - minutos que dura un periodo de Lectura en el establecimiento 60_69,CATEGORIA - minutos que dura un periodo de Lectura en el establecimiento 70_79,CATEGORIA - minutos que dura un periodo de Lectura en el establecimiento Mas79,% de Estudiantes del Establecimiento que han leído 0 libros por placer  en el último año,CATEGORIA - libros leídos por interés personal en el último año 1_2,CATEGORIA - libros leídos por interés personal en el último año 3_4,CATEGORIA - libros leídos por interés personal en el último año 5_6,% de Estudiantes del Establecimiento que han leído 6 o más libros por placer en el último año,Establecimiento tiene biblioteca (si/no),Uso de resultados: Tuvo acceso a los resultados,CATEGORIA - minutos que dura un periodo de Matemáticas en el establecimiento 0_19,CATEGORIA - minutos que dura un periodo de Matemáticas en el establecimiento 20_29,CATEGORIA - minutos que dura un periodo de Matemáticas en el establecimiento 30_39,CATEGORIA - minutos que dura un periodo de Matemáticas en el establecimiento 40_49,CATEGORIA - minutos que dura un periodo de Matemáticas en el establecimiento 50_59,CATEGORIA - minutos que dura un periodo de Matemáticas en el establecimiento 60_69,CATEGORIA - minutos que dura un periodo de Matemáticas en el establecimiento 70_79,CATEGORIA - minutos que dura un periodo de Matemáticas en el establecimiento Mas79
00-01-0158-46,Colegio Técnico Progresista Cetecpro,2A. Avenida 3-59,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Doble,20,27.78,40.00,40.91,25.00,47.06,35.00,10.00,25.00,65.00,55.00,10.00,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,54.06,57.50,50.00,0.00,4.00,4.55,0.00,11.76,0.00,0.00,0.00,100.00,45.00,55.00,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,35.88,41.54,35.00,35.00,55.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,94.74,10.00,36.84,18.30,45.00,20.00,15.00,10.00,10.00,40.00,15.00,10.00,5.00,30.00,0.78,1.00,47.37,2.74,0.00,10.53,57.89,31.58,0.00,0.00,0.00,0.00,42.11,47.37,10.53,0.00,0.00,1,1,0.00,11.11,50.00,38.89,0.00,0.00,0.00,0.00
00-01-0173-46,Instituto Normal Para Señoritas Centro America,1A Calle 2-64,Ciudad Capital,Zona 1,Oficial,Urbana,Diario (Regular),Matutina,80,47.52,55.07,60.63,53.05,38.00,52.50,42.50,10.00,47.50,32.50,15.00,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,62.03,65.48,52.19,9.22,10.87,12.50,8.54,6.00,6.25,1.25,5.00,93.75,37.50,56.25,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,34.93,44.71,31.58,6.25,93.75,0.00,0.00,0.00,0.00,0.00,1.25,98.75,0.00,0.00,0.00,0.00,0.00,90.00,11.39,6.49,18.04,23.75,15.00,33.75,12.50,15.00,28.75,15.00,37.50,8.75,10.00,0.01,2.29,73.75,2.91,13.89,25.00,56.94,2.78,1.39,0.00,0.00,0.00,10.00,48.75,21.25,11.25,8.75,1,1,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
00-01-0174-46,Escuela Nacional Central De Formacion Secretarial,12 Avenida 9-27,Ciudad Capital,Zona 1,Oficial,Urbana,Diario (Regular),Matutina,202,48.82,50.00,57.14,49.06,44.56,52.97,30.20,22.77,47.03,33.66,13.37,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,61.32,61.50,52.72,1.74,4.23,6.04,4.25,2.59,4.95,2.48,2.48,95.05,36.14,58.91,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,42.96,40.03,41.31,6.44,91.09,0.50,0.00,0.99,0.00,0.99,0.99,99.01,0.00,0.00,0.00,0.00,0.00,94.06,6.06,4.48,17.81,33.66,17.33,26.73,8.42,13.86,39.60,16.34,26.73,4.95,12.38,1.38,3.08,51.01,0.70,18.28,34.41,15.05,7.53,19.35,5.38,0.00,0.00,13.37,47.03,19.31,6.93,13.37,0,1,26.32,8.77,15.79,17.54,26.32,3.51,0.00,1.75
00-01-0176-46,Instituto Nacional De Bachillerato En Computación,3A Calle 15-45,Ciudad Capital,Zona 1,Oficial,Urbana,Diario (Regular),Vespertina,145,69.44,58.62,69.81,70.31,70.73,65.52,40.69,24.83,34.48,26.21,8.28,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,68.10,65.09,56.90,38.53,39.08,23.58,28.13,26.83,28.28,15.86,12.41,71.73,43.45,28.28,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,48.11,53.05,43.86,8.28,89.66,2.07,0.00,0.00,0.00,0.00,1.38,98.62,0.00,0.00,0.00,0.00,0.00,97.24,2.80,6.99,16.83,23.45,20.69,33.10,10.35,12.41,29.66,14.48,41.38,4.83,9.66,1.46,2.43,62.07,1.49,16.36,13.64,68.18,0.00,0.91,0.91,0.00,0.00,13.10,51.72,21.38,4.83,8.97,1,1,2.07,6.90,85.52,5.52,0.00,0.00,0.00,0.00
00-01-0178-46,Escuela Nacional De Ciencias Comerciales,10A. Avenida 9-42,Ciudad Capital,Zona 1,Oficial,Urbana,Diario (Regular),Nocturna,25,N/D,34.00,39.39,26.19,27.27,20.00,0.00,20.00,80.00,28.00,52.00,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,46.50,50.46,27.50,N/D,8.77,9.09,4.76,3.03,4.00,4.00,0.00,96.00,36.00,60.00,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,38.40,43.56,39.69,36.00,60.00,0.00,0.00,0.00,0.00,4.00,12.00,88.00,0.00,0.00,0.00,0.00,0.00,79.17,37.50,54.17,21.88,32.00,28.00,16.00,0.00,24.00,52.00,12.00,12.00,0.00,24.00,1.30,2.00,52.00,0.84,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,52.00,4.00,8.00,0.00,1,1,17.65,70.59,11.76,0.00,0.00,0.00,0.00,0.00
00-01-0180-46,Escuela Nacional De Administracion Publica Lic. Manuel Gregorio Lopez Santiago,9A Calle 2-36,Ciudad Capital,Zona 1,Oficial,Urbana,Diario (Regular),Nocturna,13,6.67,30.00,21.43,27.27,13.33,15.38,7.69,7.69,84.62,53.85,30.77,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,52.88,55.33,38.46,0.00,0.00,7.14,4.55,0.00,0.00,0.00,0.00,100.00,30.77,69.23,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,30.77,36.69,24.62,30.77,69.23,0.00,0.00,0.00,0.00,0.00,23.08,69.23,0.00,0.00,0.00,7.69,0.00,100.00,53.85,90.91,24.54,53.85,0.00,23.08,0.00,23.08,53.85,7.69,7.69,0.00,30.77,0.00,1.45,60.00,0.92,50.00,33.33,16.67,0.00,0.00,0.00,0.00,0.00,23.08,53.85,15.38,0.00,7.69,0,1,37.50,37.50,25.00,0.00,0.00,0.00,0.00,0.00
00-01-0182-46,Liceo De Ciencias Secretariales,4A Ave. 4-12,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Matutina,48,30.30,18.97,28.13,41.94,40.00,50.00,18.75,31.25,50.00,20.83,29.17,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,55.60,59.21,48.18,2.94,0.00,0.00,1.61,0.00,4.17,0.00,4.17,95.84,22.92,72.92,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,41.46,41.67,37.50,6.25,93.75,0.00,0.00,0.00,0.00,0.00,2.08,97.92,0.00,0.00,0.00,0.00,0.00,95.74,10.42,2.08,17.96,16.67,25.00,16.67,25.00,16.67,43.75,29.17,20.83,2.08,4.17,1.40,2.17,45.83,2.88,0.00,0.00,78.72,21.28,0.00,0.00,0.00,0.00,6.25,54.17,25.00,4.17,10.42,1,1,0.00,2.13,74.47,21.28,2.13,0.00,0.00,0.00
00-01-0183-46,Instituto Normal Casa Central,1A Ave. 13-63,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Matutina,84,56.36,64.77,66.67,71.43,79.17,83.33,66.67,16.67,16.67,15.48,1.19,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,73.88,73.49,65.03,21.82,11.49,14.14,22.45,19.44,36.90,15.48,21.43,63.10,45.24,17.86,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,51.78,53.43,49.61,7.14,92.86,0.00,0.00,0.00,0.00,0.00,2.38,97.62,0.00,0.00,0.00,0.00,0.00,100.00,8.43,0.00,17.49,8.33,9.52,47.62,15.48,19.05,17.86,7.14,47.62,19.05,8.33,1.66,2.69,65.48,0.58,31.25,12.50,15.63,40.63,0.00,0.00,0.00,0.00,13.10,48.81,20.24,3.57,14.29,1,1,0.00,0.00,10.71,83.33,1.19,2.38,2.38,0.00
00-01-0191-46,Instituto De Educación Diversificada Coactemalan,11 Calle 11-48,Ciudad Capital,Zona 1,Privado,Urbana,Diario (Regular),Matutina,12,58.62,50.00,50.00,57.14,84.62,50.00,16.67,33.33,50.00,50.00,0.00,32.32,39.11,34.43,53.90,54.52,43.89,56.69,56.90,45.23,54.55,55.07,42.39,60.42,61.54,54.17,10.34,14.29,5.00,14.29,7.69,0.00,0.00,0.00,100.00,41.67,58.33,9.01,14.73,8.43,37.24,41.75,32.23,39.28,43.21,35.07,36.39,40.37,31.54,35.78,37.82,30.00,8.33,83.33,0.00,0.00,0.00,0.00,8.33,0.00,100.00,0.00,0.00,0.00,0.00,0.00,91.67,8.33,0.00,17.83,41.67,8.33,41.67,8.33,0.00,25.00,16.67,25.00,25.00,8.33,2.83,3.09,100.00,2.17,11.11,0.00,88.89,0.00,0.00,0.00,0.00,0.00,0.00,36.36,54.55,9.09,0.00,1,1,33.33,0.00,66.67,0.00,0.00,0.00,0.00,0.00
