CODIGO_ESTABLECIMIENTO,NOM_ESTAB,Dirección,Nom_depa,Nom_muni,SECTOR,AREA,PLAN,JORNADA,Evaluados_Nacional_2013,SEXO_Mujer_Cantidad_Nacional_2013,SEXO_Hombre_Cantidad_Nacional_2013,SEXO_Mujer_Porcentaje_Nacional_2013,SEXO_Hombre_Porcentaje_Nacional_2013,PLAN_DIARIO_Cantidad_Nacional_2013,PLAN_SABATINO_Cantidad_Nacional_2013,PLAN_DOMINICAL_Cantidad_Nacional_2013,PLAN_FIN_SEMANA_Cantidad_Nacional_2013,PLAN_A_DISTANCIA_Cantidad_Nacional_2013,LOGRO_LECTURA_Porcentaje_Nacional_2013,NO_LOGRO_LECTURA_Porcentaje_Nacional_2013,DESEMPEÑO_LEC_EXCELENTE_Porcentaje_Nacional_2013,DESEMPEÑO_LEC_SATISFAC_Porcentaje_Nacional_2013,DESEMPEÑO_LEC_D_MEJORAR_Porcentaje_Nacional_2013,DESEMPEÑO_LEC_INSATIS_Porcentaje_Nacional_2013,LOGRO_NACIONAL_MATE_PORCENTAJE_2013,NO_LOGRO_MATE_NAC_2013,DESEMPEÑO_MATE_EXCELENTE_Porcentaje_Nacional_2013,DESEMPEÑO_MATE_SATISFAC_Porcentaje_Nacional_2013,DESEMPEÑO_MATE_D_MEJORAR_Porcentaje_Nacional_2013,DESEMPEÑO_MATE_INSATIS_Porcentaje_Nacional_2013,Cantidad_Evaluados_Establecimiento_2013,LOGRO_LECTURA_ESTABLECIMIENTO_BAS2013,NO_LOGRO_LECTURA_ESTABLECIMIENTO_BAS2013,DESEMPEÑO_EXCELENTE_LECTURA_PORCENTAJE_BAS2013,DESEMPEÑO_SATISFACTORIO_LECTURA_PORCENTAJE_BAS2013,DESEMPEÑO_DEBE_MEJORAR_LECTURA_PORCENTAJE_BAS2013,DESEMPEÑO_INSATISFACTORIO_LECTURA_PORCENTAJE_BAS2013,NUM_ALUM_10_EVAL_LEC_2013,LOGRO_NACIONAL_LECT_PORCENTAJE_2013,LOGRO_LECTURA_DEPARTAMENTAL_PORCENTAJE_2013,LOGRO_LECTURA_MUNICIPAL_PORCENTAJE_2013,NO_LOGRO_LECTURA_Porcentaje_Nacional_2013,NO_LOGRO_LECTURA_Departamental_2013,NO_LOGRO_LECTURA_Municipal_2013,LIBROS_LEE_PARA_INFORME_2_o_MENOS_2013,LIBROS_LEE_PARA_INFORME_3_a_6a_2013,LIBROS_LEE_PARA_INFORME_más_de_6a_2013,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_BAS2013,NO_LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_BAS2013,DESEMPEÑO_EXCELENTE_MATE_PORCENTAJE_BAS2013,DESEMPEÑO_SATISFACTORIO_MATE_PORCENTAJE_BAS2013,DESEMPEÑO_DEBE_MEJORAR_MATE_PORCENTAJE_BAS2013,DESEMPEÑO_INSATISFACTORIO_MATE_PORCENTAJE_BAS2013,NUM_ALUM_10_EVAL_MATE,LOGRO_NACIONAL_MATE_PORCENTAJE_2013,LOGRO_MATEMÁTICAS_DEPARTAMENTAL_PORCENTAJE_2013,LOGRO_MATEMÁTICAS_MUNICIPAL_PORCENTAJE_2013,NO_LOGRO_MATEMÁTICAS_Porcentaje_Nacional_2013,NO_LOGRO_MATEMÁTICAS_Departamental_2013,NO_LOGRO_MATEMÁTICAS_Municipal_2013,LOGRO_LECTURA_ESTABLECIMIENTO_2009,LOGRO_LECTURA_ESTABLECIMIENTO_2006,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2009,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2006,MODELOS_DE_CALIDAD_SECTOR_OFICIAL
00-01-0154-45,INSTITUTO NACIONAL DE EDUCACION BASICA O DE CULTURA GENERAL MARIA LUISA SAMAYOA LANUZA,10A AVE. 9-42,Ciudad Capital,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,209.00,16.43,83.57,4.35,12.08,36.23,47.34,2.00,14.58,25.88,22.66,85.42,74.12,77.34,70.33,24.88,4.78,18.27,81.73,0.00,18.27,39.90,41.83,2.00,18.35,26.78,22.56,81.65,73.22,77.44,17.28,35.10,8.49,19.63,REGULAR
00-01-0155-45,INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACION BASICA CON ORIENTACION OCUPACIONAL PEMEM II,3A CALLE 15-45,Ciudad Capital,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,107.00,71.03,28.97,33.64,37.38,24.30,4.67,7.00,14.58,25.88,22.66,85.42,74.12,77.34,55.14,39.25,5.61,59.81,40.19,12.15,47.66,26.17,14.02,6.00,18.35,26.78,22.56,81.65,73.22,77.44,58.25,82.61,46.67,40.87,REGULAR
00-01-0156-45,INEB NOCTURNO 'PEDRO ARRIAZA MATA',10A AVE. 12-01,Ciudad Capital,ZONA 1,OFICIAL,URBANA,DIARIO(REGULAR),NOCTURNA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,46.00,23.91,76.09,13.04,10.87,30.43,45.65,2.00,14.58,25.88,22.66,85.42,74.12,77.34,82.61,15.22,2.17,13.04,86.96,0.00,13.04,19.57,67.39,1.00,18.35,26.78,22.56,81.65,73.22,77.44,29.17,N/D,16.67,N/D,REGULAR
00-01-0157-45,IPSB 'VIRGEN PODEROSA CASA CENTRAL',2A AVE. 13-12,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,122.00,45.08,54.92,24.59,20.49,40.98,13.93,5.00,14.58,25.88,22.66,85.42,74.12,77.34,54.10,37.70,8.20,58.20,41.80,13.11,45.08,28.69,13.11,6.00,18.35,26.78,22.56,81.65,73.22,77.44,57.79,73.03,41.40,28.95,
00-01-0159-45,IPMB COLEGIO 'SANTA SOFIA',13 CALLE 3-44,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,6.00,0.00,100.00,0.00,0.00,50.00,50.00,0.00,14.58,25.88,22.66,85.42,74.12,77.34,83.33,16.67,0.00,50.00,50.00,0.00,50.00,0.00,50.00,5.00,18.35,26.78,22.56,81.65,73.22,77.44,N/D,12.50,N/D,25.00,
00-01-0161-45,IPMB COLEGIO  LOYOLA,12 AVE. 4-30,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,62.00,67.74,32.26,48.39,19.35,24.19,8.06,7.00,14.58,25.88,22.66,85.42,74.12,77.34,61.29,35.48,3.23,61.29,38.71,16.13,45.16,20.97,17.74,6.00,18.35,26.78,22.56,81.65,73.22,77.44,75.00,89.71,60.29,28.38,
00-01-0164-45,LICEO CANADIENSE,11 CALLE 1-53,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,53.00,40.00,60.00,20.00,20.00,35.00,25.00,4.00,14.58,25.88,22.66,85.42,74.12,77.34,71.70,18.87,9.43,35.00,65.00,2.50,32.50,32.50,32.50,4.00,18.35,26.78,22.56,81.65,73.22,77.44,34.00,36.11,30.00,36.73,
00-01-0166-45,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCIÓN,"3A, CALLE 7-64",Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,1.00,100.00,0.00,0.00,100.00,0.00,0.00,10.00,14.58,25.88,22.66,85.42,74.12,77.34,100.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,10.00,18.35,26.78,22.56,81.65,73.22,77.44,66.67,N/D,33.33,N/D,
00-01-0189-45,INSTITUTO 'FEDERICO CROWE' POR MADUREZ,4A. AVENIDA 9-66,Ciudad Capital,ZONA 1,PRIVADO,URBANA,FIN DE SEMANA,MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,6.00,16.67,83.33,16.67,0.00,33.33,50.00,2.00,14.58,25.88,22.66,85.42,74.12,77.34,83.33,16.67,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,18.35,26.78,22.56,81.65,73.22,77.44,15.38,N/D,15.38,0.00,
00-01-0202-45,INSTITUTO MIXTO 'MIGUEL DE CERVANTES',2A. CALLE 9-81,Ciudad Capital,ZONA 1,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,19.00,21.05,78.95,0.00,21.05,36.84,42.11,2.00,14.58,25.88,22.66,85.42,74.12,77.34,84.21,10.53,5.26,42.11,57.89,0.00,42.11,31.58,26.32,4.00,18.35,26.78,22.56,81.65,73.22,77.44,16.67,N/D,27.78,N/D,
